PREFERRED_ABBRV|PREFERRED_FULL|PREFERRED_NLMID|PREFERRED_ISSN_PRINT|PREFERRED_ISSN_ONLINE|START_YEAR|END_YEAR|FULL_TRAIL_LENGTH|FULL_TRAIL
Asian J Commun|Asian journal of communication|101087117|0129-2986||1990|uuuu|0|
Asia Pac J Rural Dev|Asia-Pacific journal of rural development|101087120|1018-5291||1991|uuuu|0|
Asia Pac Popul Res Abstr|Asia-Pacific population research abstracts / East-West Center, Program on Population|101087122|1083-0294||1995|uuuu|0|
Greek Econ Rev|Greek economic review|101087133|1010-9994||1979|uuuu|0|
LTC Regul Risk Liabil Advis|LTC regulatory risk & liability advisor|101087137|||1993|2001|1|Natl Rep Subacute Care (9418980) -Continued by-> LTC Regul Risk Liabil Advis (101087137)
Glob Access STD Diagn|Global access to STD diagnostics|101087141|1063-8423||1992|uuuu|0|
Town Hall J|Town hall journal|101087143|0732-4049||1968|1993|0|
Anthroquest|Anthroquest : the L.S.B. Leakey Foundation news|101087144|0749-1751||1982|1993|0|Anthroquest (101087144) -Continued by-> Anthroquest (101087144)
Palaeontology|Palaeontology|101087145|0031-0239||1957|uuuu|0|
Global Futures Dig|Global futures digest|101087182|0226-9465||1983|uuuu|0|
Evening Sun|Evening sun (Baltimore, Md.)|101087197|||1910|uuuu|0|
Fam Consum Sci Res J|Family and consumer sciences research journal / American Association of Family and Consumer Sciences|101087199|1077-727X||1994|uuuu|0|
Beleid Maatsch|Beleid & maatschappij|101087201|||1974|1998|0|
Berl J Soziol|Berliner journal fur Soziologie|101087204|0863-1808||1991|uuuu|0|
Geogr Shkole|Geografiia v shkole (Moscow, Russia)|101087207|0016-7207||1934|uuuu|0|
Bib Mitt|BIB-Mitteilungen : Informationen aus dem Bundesinstitut fur Bevolkerungsforschung|101087208|0722-1509||197u|uuuu|0|
Geogr Bull|Geography bulletin|101087210|0156-9236||1969|1991|0|
Bol Geogr Teor|Boletim de geografia teoretica|101087211|||19uu|uuuu|0|
Bol Geogr|Boletim geografico|101087223|0006-6028||19uu|uuuu|0|
Bol Soc Geogr Lisb|Boletim da Sociedade de Geografia de Lisboa|101087230|0037-8690||1921|uuuu|0|
Bol PROLAP|Boletin del PROLAP|101087232|||1986|uuuu|0|
Bol SIDEMA|Boletin del SIDEMA : publicacion periodico del Centro de Estudios de Poblacion, CENEP|101087234|||1990|uuuu|0|
Bol Ed Col Mex|Boletin editorial / El Colegio de Mexico, Departamento de Publicaciones|101087237|||1985|uuuu|0|
Bol Cons Nac Poblac|Boletin (Consejo Nacional de Poblacion (Peru))|101087238|||1984|1989|0|
Annu Afr Nord|Annuaire de l'Afrique du Nord|101087239|0066-2607||1962|uuuu|0|
IAPAC Mon|IAPAC monthly|101087241|1545-1089||1994|2000|2|J Physicians Assoc AIDS Care (9431848) -Continued by-> J Int Assoc Physicians AIDS Care (9508185) -Continued by-> IAPAC Mon (101087241)
Neues Jahrb Geol Palaontol Abh|Neues Jahrbuch fur Geologie und Palaontologie. Abhandlungen|101087243|0077-7749||1950|uuuu|0|
IAWA J|IAWA journal / International Association of Wood Anatomists|101087244|0928-1541||1993|uuuu|0|
Boston Globe|The Boston globe|101087245|0743-1791||1960|uuuu|0|
Hist Archaeol|Historical archaeology|101087247|0440-9213||1967|uuuu|0|
Jahrb Gesch Osteur|Jahrbucher fur Geschichte Osteuropas|101087248|0021-4019||1936|uuuu|0|
Bull Soc Belg Etud Geogr|Bulletin de la Societe belge d'etudes geographiques. Tijdschrift van de Belgische Vereniging voor Aardrijkskundige studies. Societe belge d'etudes geographiques|101087249|0037-8925||1931|uuuu|0|
Asian Geogr|Asian geographer|101087252|1022-5706||1982|uuuu|0|
Bull Assoc Tunis Plan Fam|Bulletin de l'Association tunisienne du planning familial : publication interne|101087256|||19uu|uuuu|0|
Aust Outlook|The Australian outlook|101087290|0004-9913||1947|1989|0|
Majallat Albuhuth Waaldirasat Alarabiyah|Majallat al-buhuth wa-al-dirasat al-'Arabiyah|101087294|||19uu|uuuu|0|
Bull Br Soc Middle East Stud|Bulletin - British Society for Middle Eastern Studies. British Society for Middle Eastern Studies|101087295|0305-6139||1974|1990|0|
Cah Orient|Les Cahiers de l'Orient|101087297|0767-6468||1986|uuuu|0|
Cah Econ Brux|Cahiers economiques de Bruxelles|101087298|0008-0195||1958|uuuu|0|
CIRES Cah Ivoir Rech Econ Soc|CIRES, Cahiers ivoiriens de recherche economique et sociale. Centre ivoirien de recherches economiques et sociales|101087300|1011-839X||1970|uuuu|0|
Calif Counts|California counts / Public Policy Institute of California|101087303|||1999|uuuu|0|
Caribe Contemp|El Caribe contemporaneo|101087304|||1980|uuuu|0|
Carrefour Afr|Carrefour africain|101087312|0528-1806||1960|uuuu|0|
Cartogr J|The Cartographic journal|101087314|0008-7041||1964|uuuu|0|
Child Surviv Action News|Child survival action news /|101087317|||1985|uuuu|0|
Fieldstaff Rep West Eur Ser|Fieldstaff reports. West Europe series|101087321|||1968|197u|0|
China Aktuell|China aktuell / Institut fur Asienkunde|101087323|0341-6631||1972|uuuu|0|
China Bus Rev|The China business review|101087325|0163-7169||1977|uuuu|0|
Clearing House|Clearing house (Menasha, Wis.)|101087330|0009-8655||1936|uuuu|0|
Foro Int|Foro internacional|101087333|0185-013X||1960|uuuu|0|
Colecc Estud CIEPLAN|Coleccion estudios CIEPLAN|101087341|0716-0631||1979|1997|0|
COMBROAD|Combroad|101087344|0951-0826||19uu|uuuu|0|
Contemp Pac|The Contemporary Pacific|101087354|1043-898X||1989|uuuu|0|
Newsl Fam Plan Assoc Hong Kong|Newsletter - Family Planning Association of Hong Kong / Family Planning Association of Hong Kong|101087355|||19uu|uuuu|0|
Env Polit|Environmental politics|101087359|0964-4016||1992|uuuu|0|
Contrib Nepalese Stud|Contributions to Nepalese studies|101087360|0376-7574||1973|uuuu|0|
Estad Panamena Situac Demogr Secc 231 Migr Migr Int|Estadistica panamena. Situacion demografica, seccion 231: Migracion internacional. Panama. Direccion de Estadistica y Censo|101087362|0378-4975||1975|1990|0|
Coord Noteb|Coordinators' notebook : an international resource for early childhood development|101087367|||19uu|uuuu|0|
Estud Publicos|Estudios publicos / Centro de Estudios Publicos|101087368|||1980|uuuu|0|
EURE|EURE. Revista latinoamericana de estudios urbano regionales|101087370|0250-7161||1970|uuuu|0|
Eur Reg|Europa Regional|101087371|0943-7142||1993|uuuu|0|
Eur Om|Europe, outremer|101087372|0223-5862||1973|1987|0|
Eur Urban Reg Stud|European urban and regional studies|101087373|0969-7764||1994|uuuu|0|
Br J Educ Technol|British journal of educational technology : journal of the Council for Educational Technology|101087374|0007-1013||1971|uuuu|0|
Jugosl Pregl|Jugoslovenski pregled; informativno dokumentarni prirucnik o Jugoslaviji|101087375|0022-6114||1957|uuuu|0|
Cuad Econ Soc|Cuadernos de economia social|101087380|0325-9757||1979|1990|0|
Cuad Nutr|Cuadernos de nutricion|101087383|0186-3274||19uu|uuuu|0|
J Int Trade Econ Dev|The journal of international trade & economic development|101087397|0963-8199||1992|uuuu|0|
J Labor Res|Journal of labor research|101087398|0195-3613||1980|uuuu|0|
J Philipp Dev|Journal of Philippine development : a technical journal of the National Economic and Development Authority|101087400|0115-9143||1976|uuuu|0|
J Post Keynes Econ|Journal of post Keynesian economics|101087401|0160-3477||1978|uuuu|0|
Cah Anal Donnees|Les Cahiers de l'analyse des donnees|101087404|0339-3097||1976|uuuu|0|
Curr Aff Bull|Current affairs bulletin|101087416|0011-3182||1947|uuuu|0|
Deccan Geogr|The Deccan geographer|101087418|0011-7269||1962|uuuu|0|
Delft Prog Rep|Delft progress report|101087419|0304-985X||1976|199u|0|
Demos|Demos (Mexico City, Mexico)|101087425|0187-7550||1988|uuuu|0|
Dev Gend Brief|Development and gender in brief : a quarterly update from BRIDGE, raising gende awareness among policy-makers and practitioners|101087433|1358-0612||1995|uuuu|0|
Dev Peace|Development and peace|101087440|0209-5602||1980|1988|0|
Dev Forum|Development forum|101087441|0251-6632||1973|1992|0|
Can J Urban Res|Canadian journal of urban research|101087450|1188-3774||1992|uuuu|0|
Casa Mujer|Casa de la mujer|101087454|||199u|uuuu|0|
Doc Anal Geogr|Documents d'analisi geografica / [publicacions del Departament de Geografia, Universitat Autonoma de Barcelona]|101087455|0212-1573||1982|uuuu|0|
East Afr Geogr Rev|The East African geographical review|101087458|0070-7961||1963|uuuu|0|
Chin Econ Stud|Chinese economic studies|101087461|0009-4552||1967|1996|0|
Dusseld Geogr Schr|Dusseldorfer geographische Schriften|101087466|||1974|uuuu|0|
Civ Cattol|La Civilta cattolica|101087467|0009-8167||1850|uuuu|0|
East Eur Jew Aff|East European Jewish affairs|101087469|1350-1674||1971|1991|1|Sov Jew Aff (100970564) -Continued by-> East Eur Jew Aff (101087469)
East Eur Polit Soc|Eastern European politics and societies : EEPS|101087470|0888-3254||1987|uuuu|0|
East Afr Soc Sci Res Rev|Eastern Africa social science research review|101087472|||1985|uuuu|0|
East South Afr Geogr J|Eastern and southern Africa geographical journal|101087473|||1990|uuuu|0|
East Europ Econ|Eastern European economics|101087474|0012-8775||1962|uuuu|0|
Econ Lav|Economia & lavoro|101087476|0012-978X||1967|uuuu|0|
Econ Pubblica|Economia pubblica : mensile di studi e d'informazione del Ciriec|101087478|0390-6140||1971|uuuu|0|
Econ Bull Ghana|The Economic bulletin of Ghana|101087480|||1963|uuuu|0|
Econ Comput Econ Cybern Stud Res|Economic computation and economic cybernetics studies and research / Academy of Economic Studies|101087485|0424-267X||1966|uuuu|0|
Econ Eye|Economic eye|101087489|0389-0503||1980|1995|0|
Clim Change|Climatic change|101087507|0165-0009||1977|uuuu|0|
Comp Urban Res|Comparative urban research|101087541|0090-3892||1972|1985|0|
Contrepoint|Contrepoint|101087546|0010-7964||1970|1986|0|
Econ Philos|Economics and philosophy|101087556|0266-2671||1985|uuuu|0|
Econ Educ Rev|Economics of education review|101087557|0272-7757||1981|uuuu|0|
Econ Soc (Paris)|Economies et societes|101087558|0013-0567||1967|uuuu|0|
Econ Soc|Economy and society|101087559|0308-5147||1972|uuuu|0|
Educ Broadcast Int|Educational broadcasting international|101087560|0013-1970||1971|1981|0|
Egypte Monde Arabe|Egypte/monde arabe|101087561|0752-4412||1990|1998|0|
Ekon Misao|Ekonomska misao|101087562|0013-323X||1968|uuuu|0|
Ekon Revija|Ekonomska revija|101087563|0013-3256||1950|1990|0|
Environ Plann B Plann Des|Environment and planning. B, Planning & design|101087566|0265-8135||1983|uuuu|0|
Environ Plann C Gov Policy|Environment and planning. C, Government & policy|101087567|0263-774X||1983|uuuu|0|
Environ Educ Inf|Environmental education and information|101087568|0144-9281||1981|uuuu|0|
Etud Doc Groupe Demogr Afr|Etudes & documents (Groupe de demographie africaine (France))|101087569|0292-7616||1979|198u|0|Etud Doc Groupe Demogr Afr (101087569) -Continued by-> Etud Doc Groupe Demogr Afr (101087569)
Guang Ming Ri Bao|Guang ming ri bao|101087570|||1949|uuuu|0|
Gujarat Stat Rev|Gujarat statistical review|101087572|0379-3419||1974|uuuu|0|
Hist Demogr|Historicka demografie|101087578|||1967|uuuu|0|
Humboldt J Soc Relat|Humboldt journal of social relations|101087591|0160-4341||1973|uuuu|0|
IASSIST Q|IASSIST quarterly / International Association for Social Science Information Service and Technology|101087595|0739-1137||19uu|uuuu|0|
IFO Stud|IFO-Studien|101087597|0018-9731||1955|2002|0|
IIASA Rep|IIASA reports|101087600|0250-7625||1980|1982|0|
IMF Surv|IMF survey. International Monetary Fund|101087602|0047-083X||1972|uuuu|0|
Indian J Ind Relat|Indian journal of industrial relations|101087606|0019-5286||1965|uuuu|0|
Indian J Quant Econ|Indian journal of quantitative economics|101087608|0970-1532||1985|uuuu|0|
Insur Math Econ|Insurance, mathematics & economics|101087650|0167-6687||1982|uuuu|0|
J Risk Uncertain|Journal of risk and uncertainty|101087652|0895-5646||1988|uuuu|0|
Int Econ Insights|International economic insights|101087683|1050-8481||1990|1994|0|
Int J Anthropol|International journal of anthropology|101087686|0393-9383||1986|uuuu|0|
J Fam Plann Reprod Health Care|The journal of family planning and reproductive health care / Faculty of Family Planning & Reproductive Health Care, Royal College of Obstetricians & Gynaecologists|101087687|1471-1893|2045-2098|2001|uuuu|0|
Landsc Urban Plan|Landscape and urban planning|101087690|0169-2046||1986|uuuu|0|
J Inst Chart Account Sri Lanka|Journal of the Institute of Chartered Accountants of Sri Lanka|101087692|1015-0005||1978|19uu|0|
J Jpn Int Econ|Journal of the Japanese and international economies|101087695|0889-1583||1987|uuuu|0|
Structure|Structure (London, England : 1993)|101087697|0969-2126|1878-4186|1993|uuuu|0|
Law File|Law file|101087700|||19uu|uuuu|0|
J Popul Assoc Korea|Han&#x02be;guk In&#x02be;gu Hakhoe chi = The journal of the Population Association of Korea|101087717|||19uu|uuuu|0|
Malawian Geogr|The Malawian geographer|101087720|1010-5549||19uu|uuuu|0|
Marbg Geogr Schr|Marburger geographische Schriften|101087735|0341-9290||1949|uuuu|0|
Int Spect (Rome)|The international spectator : a quarterly journal of the Istituto affari internazionali|101087736|0393-2729||1983|uuuu|0|
J Arab Aff|Journal of Arab affairs|101087739|0275-3588||1981|1993|0|
J Archit Plann Res|Journal of architectural and planning research|101087740|0738-0895||1984|uuuu|0|
J Asian Econ|Journal of Asian economics|101087744|1049-0078||1990|uuuu|0|
J Bus Soc Stud|The Journal of business and social studies|101087746|0021-9428||1968|uuuu|0|
J Bus Res|Journal of business research|101087747|0148-2963||1973|uuuu|0|
J East West Stud|Journal of East and West studies|101087749|||1973|1996|0|
J Econ Educ|The Journal of economic education|101087750|0022-0485||1969|uuuu|0|
J Econ Surv|Journal of economic surveys|101087764|0950-0804||1987|uuuu|0|
J Eur Soc Policy|Journal of European social policy|101087768|0958-9287||1991|uuuu|0|
J Inst Theor Econ|Journal of institutional and theoretical economics : JITE = Zeitschrift fur die gesamte Staatswissenschaft|101087776|0932-4569||1844|1985|1|Z Gesamte Staatswiss (101088564) -Continued by-> J Inst Theor Econ (101087776)
Rev Fr Etud Am|Revue francaise d'etudes americaines|101087789|0397-7870||1976|uuuu|0|
Rhein Vierteljahrsbl|Rheinische Vierteljahrsblatter|101087794|0035-4473||1931|uuuu|0|
Japan World Econ|Japan and the world economy|101087803|0922-1425||1988|uuuu|0|
Int Stud Q|International studies quarterly : a publication of the International Studies Association|101087804|0020-8833||1967|uuuu|0|
Jerusalem Q|The Jerusalem quarterly|101087809|0334-4800||1976|1990|0|
JICA Newsl|JICA newsletter|101087812|||1991|1998|0|
J Advert Res|Journal of advertising research|101087821|0021-8499||1960|uuuu|0|
J Afr Law|Journal of African law|101087828|0021-8553||1957|uuuu|0|
Iran Stud|Iranian studies : bulletin of the Society for Iranian Cultural and Social Studies|101087832|0021-0862||1967|uuuu|0|
IRCS Med Sci Biomed Technol|IRCS medical science: Biomedical technology|101087834|0305-6716||1975|uuuu|0|
Ir Bank Rev|The Irish banking review|101087835|0021-1060||1957|uuuu|0|
Isla|Isla (Mangilao, Guam)|101087837|1054-9390||1992|uuuu|0|
Isr Soc Sci Res|Israel social science research|101087839|0334-133X||1983|1997|0|
Izv Russ Geogr Obshchestva|Izvestiia Russkogo geograficheskogo obshchestva (1992)|101087844|0869-6071||1992|uuuu|0|
Round Table|The Round table|101087854|0035-8533||1910|uuuu|0|
Russ Soc Sci Rev|Russian social science review : a journal of translations|101087856|1061-1428||1960|1992|1|Sov Rev (101085514) -Continued by-> Russ Soc Sci Rev (101087856)
AID Eval News|A.I.D. evaluation news|101087889|||198u|1993|0|
ARAG Natl Newsl|A.R.A.G. national newsletter / Abortion Reform Action Group|101087898|||19uu|uuuu|0|
Mohlomi|Mohlomi|101087952|||1976|uuuu|0|
Sci Rep Tohoku Univ Ser 7|The Science reports of the Tohoku University. Seventh series: (Geography) Tohoku Daigaku|101087964|0375-7854||1952|uuuu|0|
Scr Ethnol|Scripta ethnologica (Centro Argentino de Etnologia Americana)|101087968|0325-6669||1973|uuuu|0|
Serv Migr|Servizio migranti|101087972|||19uu|uuuu|0|
Sist Urbani|Sistemi urbani|101087973|0393-5493||1979|1993|0|
Soc Choice Welfare|Social choice and welfare|101087974|0176-1714||1984|uuuu|0|
Soc Dev Issues|Social development issues|101087977|0147-1473||1977|uuuu|0|
Soc Sci|Social sciences|101087982|0134-5486||1970|uuuu|0|
Socialisme|Socialisme|101088008|0037-8127||1954|1997|0|
Sociol Diritto|Sociologia del diritto|101088017|0390-0851||1974|uuuu|0|
Sociologia|Sociologia (Lisbon, Portugal)|101088025|||1986|uuuu|0|
Sosiologia|Sosiologia|101088033|0038-1640||1964|uuuu|0|
S Afr Geogr J|The South African geographical journal, being a record of the proceedings of the South African Geographical Society|101088035|0373-6245||1917|uuuu|0|
J HIV Ther|Journal of HIV therapy|101088049|1462-0308||1998|uuuu|0|
Nano Lett|Nano letters|101088070|1530-6984|1530-6992|2001|uuuu|0|
J Nanopart Res|Journal of nanoparticle research : an interdisciplinary forum for nanoscale science and technology|101088075|1388-0764|1572-896X|1999|uuuu|0|
Astrobiology|Astrobiology|101088083|1531-1074|1557-8070|2001|uuuu|0|
Natl Inst Econ Rev|National Institute economic review|101088087|0027-9501||1959|uuuu|0|
Zidonghua Xuebao|Zi dong hua xue bao = Acta automatica Sinica / Chung-kuo tzu tung hua hsueh hui, Tzu tung hua hsueh pao pien chi wei yuan hui pien chi|101088100|0254-4156||1963|uuuu|0|
Nat Resour J|Natural resources journal|101088104|0028-0739||1961|uuuu|0|
South Asia Bull|South Asia bulletin|101088121|0732-3867||1981|1994|0|
South Asian Rev|South Asian review|101088122|0038-2841||1969|uuuu|0|
South Eur Soc Polit|South European society & politics|101088135|1360-8746||1996|uuuu|0|
South Pac Bull|South Pacific bulletin|101088140|0038-349X||1960|198u|0|
Sov Econ|Soviet economy (Silver Spring, Md.)|101088144|0882-6994||1985|1992|0|
Sov Educ|Soviet education|101088145|0038-5360||1958|1991|0|
Sov Stud Philos|Soviet studies in philosophy|101088146|0038-5883||1962|1992|0|
Spore|Spore (English edition)|101088149|1011-0054||1986|uuuu|0|
Sri Lanka J Soc Sci|Sri Lanka journal of social sciences|101088150|0258-9710||1978|uuuu|0|
Statist Medd Ser Be Befolk Val|Statistiska meddelanden. Serie Be|101088152|0082-0245||19uu|uuuu|0|
Seagull Theatre Q|Seagull theatre quarterly : STQ|101088161|||1994|uuuu|0|
Studi Sociol|Studi di sociologia|101088162|0039-291X||1963|uuuu|0|
Stud Hist Gandensia|Studia historica Gandensia|101088168|0585-5217||1963|uuuu|0|
J Rehabil Med|Journal of rehabilitation medicine|101088169|1650-1977|1651-2081|1969|2000|1|Scand J Rehabil Med (0212503) -Continued by-> J Rehabil Med (101088169)
